account_id;transaction_value_count
1935;21062.613286713287
2384;21011.144680851063
2211;20842.65076923077
3634;20287.10099009901
2633;19789.124137931034
7049;19772.444736842106
4514;19181.43393939394
3516;19140.78275862069
2532;19029.433834586467
456;18962.825322997418
2571;18929.399999999998
4375;18874.311267605633
66;18605.43386075949
266;18558.04246153846
3705;18545.61707317073
384;18471.704545454544
191;18410.877358490565
1725;18363.920253164557
1032;18273.052618453865
2003;18239.57427184466
3499;18039.649999999998
1456;17862.352252252254
1132;17841.643236714976
1757;17833.441078838172
1538;17818.06030150754
10243;17747.74135338346
212;17636.81111111111
2915;17628.568229166667
10361;17625.75
10679;17554.728448275862
472;17553.445283018867
4086;17321.132666666665
5648;17315.326732673268
2086;17291.93125
3521;17252.28251748252
1313;17240.495098039217
1374;17180.57951807229
10650;17135.2914893617
2897;17002.995412844037
4715;16946.34836601307
2355;16866.071705426355
3300;16857.266666666666
1953;16856.677981651374
3290;16853.313821138214
1464;16835.879881656805
227;16790.01089494163
645;16786.501904761903
532;16745.165829145728
390;16573.025274725274
4318;16559.911807228917
11138;16527.956923076923
211;16462.309302325582
11079;16430.450406504064
2126;16400.838211382114
2080;16355.2828125
2418;16243.902857142857
30;16234.175088967972
1718;16212.601204819275
1066;16186.272121212121
218;16161.141964285713
4470;16149.006865671641
1749;16082.694849785408
4361;16012.252403846154
5870;15974.741250000001
1754;15968.225170068028
3325;15951.503030303029
3675;15946.74735632184
10065;15935.443726235742
777;15889.64683544304
1632;15866.535746606334
566;15761.022727272728
2262;15755.904320987655
3526;15745.786547085201
3437;15724.208465608464
1344;15722.9
2537;15719.254430379748
2424;15698.550347222223
4746;15681.998692810455
5228;15677.367400881058
3875;15657.349315068494
2894;15649.162760416666
1408;15649.01798561151
4358;15611.831578947369
574;15606.036486486486
8094;15601.557763975154
167;15568.289830508473
5283;15543.737634408602
2877;15540.116853932584
2910;15539.236470588236
521;15531.428443113771
10645;15529.61411042945
2678;15497.954022988506
3337;15478.849375
2600;15477.263117870723
291;15410.709467455621
3038;15384.790134529148
1009;15368.352777777778
2242;15366.499530516432
3994;15329.596178343949
4533;15296.138655462184
3450;15288.370454545453
1067;15217.212299465242
2912;15204.012737127372
2857;15200.410833333333
862;15189.118609865473
2282;15182.222090261283
31;15163.648825065275
4253;15130.900975609757
844;15114.171733333334
712;15105.477181208054
2710;15102.380239520959
4014;15100.036823104694
3273;15059.539230769231
2219;15026.68975409836
5270;15016.13225108225
6678;14978.199270072993
1939;14963.846929824562
2338;14960.98875
1093;14952.230452674898
